Agency,Code,Time,Region Name,Delta. Deg.,ES. Az.,Op. ID,ISC ID,ISC Res,Def.,AmpMag,Slowness,SNR,SE. Az.,Phase ID,Reading ID
TAP,VWDT,04:57:20.8,,2,242,S,Sn,-0.2,T,,0.0,,236.0,675317880,642175943
TAP,DPDB,04:56:58.3,,2,252,P,Pn,+1.1,T,,0.0,,253.0,675317883,642175945
TAP,DPDB,04:57:23.4,,2,252,S,Sn,+0.8,T,,0.0,,253.0,675317884,642175945
TAP,YULB,04:56:56.9,,2,231,P,Pn,-0.6,T,,0.0,,233.0,675317885,642175946
TAP,YULB,04:57:20.6,,2,231,S,Sn,-2.3,T,,0.0,,233.0,675317886,642175946
TAP,TWF1,04:57:22.1,,2,230,S,Sn,-1.4,T,,0.0,,233.0,675317888,642175947
TAP,TWF1,04:56:57.6,,2,230,P,Pn,-0.2,T,,0.0,,233.0,675317887,642175947
JMA,JIRB,04:57:22.9,,2,84,S,Sn,-1.0,T,,0.0,,,692436371,653952843
TAP,SSLB,04:56:58.9,,2,245,P,Pn,+0.8,T,,0.0,,241.0,675317891,642175949
TAP,SSLB,04:57:23.5,,2,245,S,Sn,-0.6,T,,0.0,,241.0,675317892,642175949
TAP,SMLT,04:56:59.1,,2,248,P,Pn,+0.8,T,,0.0,,241.0,675317889,642175948
TAP,SMLT,04:57:25.2,,2,248,S,Sn,+0.8,T,,0.0,,241.0,675317890,642175948
TAP,TYC,04:56:59.5,,2,249,P,Pn,+1.0,T,,0.0,,243.0,675317893,642175950
TAP,TYC,04:57:25.4,,2,249,S,Sn,+0.6,T,,0.0,,243.0,675317894,642175950
TAP,YUS,04:57:01.5,,2,238,P,Pn,+1.2,T,,0.0,,232.0,675317895,642175951
TAP,YUS,04:57:27.8,,2,238,S,Sn,-0.3,T,,0.0,,232.0,675317896,642175951
TAP,ALS,04:57:02.6,,2,241,P,Pn,+1.1,T,,0.0,,237.0,675317897,642175952
TAP,ALS,04:57:30.3,,2,241,S,Sn,+0.2,T,,0.0,,237.0,675317898,642175952
