Agency,Time,Lat.,Long.,Depth,Depth Err.,Mag-1,Mag-2,RMS,HypID
JMA,04:56:24.2,24.75N,122.97E,122,2,,,,604895490
TAP,04:56:23.8,24.7N,122.89E,136,1,3.23ML,,0.31,603807932
